date,precip_in,temp_mean_C
1975-10-01,1.69,15.5
1975-11-01,0.23,11.38888889
1975-12-01,0.25,9.277777778
1976-01-01,0.14,9.222222222
1976-02-01,0.93,10.22222222
1976-03-01,1.9,11.44444444
1976-04-01,0.87,12.44444444
1976-05-01,0,17.38888889
1976-06-01,0.05,19.94444444
1976-07-01,0,21.72222222
1976-08-01,1.07,20.38888889
1976-09-01,1.98,20.61111111
1976-10-01,0.96,17.72222222
1976-11-01,1.39,13.94444444
1976-12-01,1.2,9.111111111
1977-01-01,1.52,8.388888889
1977-02-01,0.96,11.72222222
1977-03-01,1.66,10.44444444
1977-04-01,0,14.72222222
1977-05-01,1.41,13.72222222
1977-06-01,0.05,20.05555556
1977-07-01,0,21.72222222
1977-08-01,0,22.11111111
1977-09-01,0.34,20
1977-10-01,0.13,17.5
1977-11-01,1.6,13.55555556
1977-12-01,4.62,11.61111111
1978-01-01,7.77,10.94444444
1978-02-01,5.38,11.11111111
1978-03-01,5.14,14.33333333
1978-04-01,3.89,12.5
1978-05-01,0,17.55555556
1978-06-01,0,19.83333333
1978-07-01,0,22.05555556
1978-08-01,0,22.05555556
1978-09-01,0.33,20.5
1978-10-01,0,18.5
1978-11-01,2.2,11.22222222
1978-12-01,1.34,7.222222222
1979-01-01,4.88,8
1979-02-01,5.55,9.222222222
1979-03-01,2.68,12.16666667
1979-04-01,0.79,13.5
1979-05-01,0.28,17.72222222
1979-06-01,0,20.66666667
1979-07-01,0.16,22.22222222
1979-08-01,0,21.16666667
1979-09-01,0,22.44444444
1979-10-01,2.14,17.61111111
1979-11-01,1.49,12.22222222
1979-12-01,4.54,10
1980-01-01,5.9,10.77777778
1980-02-01,8.59,12.05555556
1980-03-01,2.07,11.5
1980-04-01,1.87,13.77777778
1980-05-01,0.29,14.94444444
1980-06-01,0,17.77777778
1980-07-01,0.63,21.83333333
1980-08-01,0,20.88888889
1980-09-01,0,19.94444444
1980-10-01,0,18
1980-11-01,0.11,13.11111111
1980-12-01,2.53,10.27777778
1981-01-01,6.24,10.5
1981-02-01,1.51,11.61111111
1981-03-01,3.55,11.72222222
1981-04-01,0.38,14.27777778
1981-05-01,0.16,17.11111111
1981-06-01,0,22.77777778
1981-07-01,0,22
1981-08-01,0,21.83333333
1981-09-01,0,20.61111111
1981-10-01,1.97,15.38888889
1981-11-01,5.31,13.94444444
1981-12-01,2.89,10.38888889
1982-01-01,7.35,7.277777778
1982-02-01,3.11,11.16666667
1982-03-01,5.52,11
1982-04-01,4.84,12.94444444
1982-05-01,0,16.55555556
1982-06-01,0.26,18.11111111
1982-07-01,0,21
1982-08-01,0,21.33333333
1982-09-01,1.38,19.77777778
1982-10-01,2.18,16.44444444
1982-11-01,5.06,11.11111111
1982-12-01,4.03,8.888888889
1983-01-01,8.24,9.055555556
1983-02-01,6.08,11.22222222
1983-03-01,8.25,12.22222222
1983-04-01,3.74,12.16666667
1983-05-01,0.39,16.5
1983-06-01,0,19.61111111
1983-07-01,0,21.11111111
1983-08-01,0.12,22.38888889
1983-09-01,0.25,22.16666667
1983-10-01,0.95,17.83333333
1983-11-01,6.26,12.33333333
1983-12-01,4.94,10.66666667
1984-01-01,0.22,9.5
1984-02-01,1.88,10.22222222
1984-03-01,1.41,13.55555556
1984-04-01,0.66,12.83333333
1984-05-01,0,18.38888889
1984-06-01,0,19.11111111
1984-07-01,0,23.22222222
1984-08-01,0,21.94444444
1984-09-01,0,23
1984-10-01,1.31,15.44444444
1984-11-01,4.84,11.16666667
1984-12-01,1.81,7.722222222
1985-01-01,0.9,7.555555556
1985-02-01,2.13,10.27777778
1985-03-01,3.77,10.16666667
1985-04-01,0.52,15.55555556
1985-05-01,0.16,15.77777778
1985-06-01,0.07,21.05555556
1985-07-01,0.01,22.94444444
1985-08-01,0,20.66666667
