date,precip_in,temp_mean_C
1975-10-01,2.52,14.83333333
1975-11-01,0.63,10.88888889
1975-12-01,0.38,9.722222222
1976-01-01,0.24,9.555555556
1976-02-01,1.19,9.333333333
1976-03-01,2.21,9.555555556
1976-04-01,1.34,9.722222222
1976-05-01,0,16.27777778
1976-06-01,0.17,17.94444444
1976-07-01,0,20.72222222
1976-08-01,1.01,18.77777778
1976-09-01,1.74,19.94444444
1976-10-01,1.07,17.94444444
1976-11-01,1.41,14.16666667
1976-12-01,1.06,8.444444444
1977-01-01,1.78,8.833333333
1977-02-01,1.31,11.38888889
1977-03-01,2.75,8.888888889
1977-04-01,0.13,13.5
1977-05-01,1.53,10.66666667
1977-06-01,0,19.88888889
1977-07-01,0,20.94444444
1977-08-01,0,21.83333333
1977-09-01,0.57,18.83333333
1977-10-01,0.27,17.61111111
1977-11-01,1.95,12.88888889
1977-12-01,4.87,11.16666667
1978-01-01,8.79,9.777777778
1978-02-01,4.54,9.777777778
1978-03-01,5.29,12.38888889
1978-04-01,4.76,10.22222222
1978-05-01,0.02,16
1978-06-01,0,18.27777778
1978-07-01,0,21.5
1978-08-01,0,21.55555556
1978-09-01,0.37,18.94444444
1978-10-01,0,19.88888889
1978-11-01,2.25,10.94444444
1978-12-01,1.37,7.555555556
1979-01-01,5.21,7.055555556
1979-02-01,5.34,8.055555556
1979-03-01,3.31,10.38888889
1979-04-01,1.25,11.16666667
1979-05-01,0.59,16.5
1979-06-01,0,19.55555556
1979-07-01,0.19,21.33333333
1979-08-01,0,19.72222222
1979-09-01,0,22
1979-10-01,2.93,16.5
1979-11-01,2.29,11.55555556
1979-12-01,4.28,11.16666667
1980-01-01,6.24,9.555555556
1980-02-01,8.4,11.05555556
1980-03-01,2.32,9.444444444
1980-04-01,2.27,11.94444444
1980-05-01,0.52,13.05555556
1980-06-01,0,15.44444444
1980-07-01,0.54,20.77777778
1980-08-01,0,20.72222222
1980-09-01,0,19.33333333
1980-10-01,0.07,18.33333333
1980-11-01,0.2,13.77777778
1980-12-01,2.72,11.44444444
1981-01-01,6.28,10.72222222
1981-02-01,1.51,10.44444444
1981-03-01,4.65,9.5
1981-04-01,0.39,12.55555556
1981-05-01,0.34,15.55555556
1981-06-01,0,21.5
1981-07-01,0,22.16666667
1981-08-01,0,22.11111111
1981-09-01,0.01,21.05555556
1981-10-01,2.31,14.44444444
1981-11-01,6.42,12.77777778
1981-12-01,3.46,10.55555556
1982-01-01,6.29,6.777777778
1982-02-01,3.22,10.16666667
1982-03-01,7.05,8.388888889
1982-04-01,5.5,10.77777778
1982-05-01,0,16.27777778
1982-06-01,0.26,16.22222222
1982-07-01,0.01,20
1982-08-01,0,20.88888889
1982-09-01,1.32,18.61111111
1982-10-01,2.41,15.66666667
1982-11-01,6.16,10.5
1982-12-01,4.59,8.833333333
1983-01-01,9.16,9.944444444
1983-02-01,6.57,9.833333333
1983-03-01,9.77,9.555555556
1983-04-01,5.1,9.277777778
1983-05-01,0.66,15.33333333
1983-06-01,0,17.66666667
1983-07-01,0,18.66666667
1983-08-01,0.14,20.94444444
1983-09-01,0.48,21.5
1983-10-01,1.18,17.22222222
1983-11-01,8.33,11
1983-12-01,6.84,9.166666667
1984-01-01,0.27,10.72222222
1984-02-01,2.53,9.666666667
1984-03-01,1.84,12.5
1984-04-01,1.41,11.11111111
1984-05-01,0.02,17.55555556
1984-06-01,0.1,18.55555556
1984-07-01,0,23.27777778
1984-08-01,0,21.61111111
1984-09-01,0,22.66666667
1984-10-01,2.69,14.05555556
1984-11-01,5.57,10.27777778
1984-12-01,1.93,7.611111111
1985-01-01,0.93,8.277777778
1985-02-01,1.95,10.33333333
1985-03-01,4.66,8.111111111
1985-04-01,0.53,14.55555556
1985-05-01,0.2,13.55555556
1985-06-01,0.25,20.72222222
1985-07-01,0.03,22.38888889
1985-08-01,0,19.5
1985-09-01,0.55,16.77777778
1985-10-01,1.09,15.5
1985-11-01,4.97,10.27777778
1985-12-01,2.56,7.888888889
1986-01-01,2.33,11.77777778
1986-02-01,11.76,10.44444444
1986-03-01,6.09,12.94444444
1986-04-01,0.9,11.5
1986-05-01,0.4,14.83333333
1986-06-01,0,18.77777778
1986-07-01,0,19.61111111
1986-08-01,0,22.05555556
1986-09-01,1.37,16.27777778
1986-10-01,0.1,17.16666667
1986-11-01,0.49,13.22222222
1986-12-01,1.18,9
1987-01-01,2.61,7.611111111
1987-02-01,3.86,9.722222222
1987-03-01,3.09,10
1987-04-01,0.46,15.16666667
1987-05-01,0.13,16.38888889
1987-06-01,0,19.16666667
1987-07-01,0,18.61111111
1987-08-01,0,20.5
1987-09-01,0,20.5
1987-10-01,0.87,18.33333333
1987-11-01,1.26,11.72222222
1987-12-01,4.29,7.722222222
1988-01-01,2.56,8.666666667
1988-02-01,0.44,11.88888889
1988-03-01,0.38,11.66666667
1988-04-01,2.13,12.66666667
1988-05-01,1.18,13.66666667
1988-06-01,0.37,18.83333333
1988-07-01,0,23.94444444
1988-08-01,0,22.33333333
1988-09-01,0,21.83333333
1988-10-01,0.06,19.16666667
1988-11-01,3.6,11.83333333
1988-12-01,3.91,9.111111111
1989-01-01,1.71,8.722222222
1989-02-01,1.57,8.166666667
1989-03-01,4.76,11.27777778
1989-04-01,0.77,15.44444444
1989-05-01,0.14,16.05555556
1989-06-01,0,19.11111111
1989-07-01,0,20.44444444
1989-08-01,0.02,19.66666667
1989-09-01,1.54,18.77777778
1989-10-01,2.01,15.77777778
1989-11-01,1.64,14.22222222
1989-12-01,0.01,11.22222222
1990-01-01,3.2,8.777777778
1990-02-01,3.81,7.5
1990-03-01,1.61,11.11111111
1990-04-01,0.47,14.22222222
