PRISM Time Series Data
Location:  Lat: 37.2350   Lon: -121.7127   Elev: 1247ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1975-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Jan-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1975-01,1.10,48.0
1975-02,5.74,49.4
1975-03,6.07,50.2
1975-04,1.96,49.0
1975-05,0.00,61.3
1975-06,0.07,65.1
1975-07,0.09,66.9
1975-08,0.62,67.5
1975-09,0.00,69.5
1975-10,1.84,59.3
1975-11,0.35,51.5
1975-12,0.34,48.3
1976-01,0.23,49.3
1976-02,1.07,49.6
1976-03,2.01,51.1
1976-04,1.25,52.6
1976-05,0.00,61.6
1976-06,0.11,65.2
1976-07,0.00,68.1
1976-08,1.02,65.6
1976-09,1.56,67.9
1976-10,1.05,65.2
1976-11,1.22,57.9
1976-12,1.12,49.4
1977-01,1.68,47.3
1977-02,1.20,52.9
1977-03,2.18,50.3
1977-04,0.09,57.4
1977-05,1.32,54.0
1977-06,0.00,66.8
1977-07,0.00,68.4
1977-08,0.00,69.6
1977-09,0.46,66.5
1977-10,0.25,64.3
1977-11,1.36,55.6
1977-12,4.17,52.6
1978-01,9.03,50.9
1978-02,4.43,51.3
1978-03,5.41,56.9
1978-04,4.19,53.3
1978-05,0.00,62.6
1978-06,0.00,65.3
1978-07,0.00,69.2
1978-08,0.00,69.7
1978-09,0.30,68.1
1978-10,0.00,67.4
1978-11,2.09,52.1
1978-12,1.29,45.6
1979-01,5.04,46.5
1979-02,4.82,48.5
1979-03,3.03,53.2
1979-04,0.87,54.6
1979-05,0.41,62.3
1979-06,0.00,66.7
1979-07,0.16,70.1
1979-08,0.00,67.2
1979-09,0.00,72.1
1979-10,2.13,63.2
1979-11,1.70,54.3
1979-12,4.34,51.7
1980-01,5.57,50.6
1980-02,9.07,54.0
1980-03,2.19,52.3
1980-04,1.81,55.9
1980-05,0.32,56.8
1980-06,0.00,61.5
1980-07,0.52,69.1
1980-08,0.00,67.9
1980-09,0.00,67.3
1980-10,0.00,66.4
1980-11,0.19,56.9
1980-12,3.00,51.0
1981-01,6.09,50.7
1981-02,1.42,52.8
1981-03,4.05,52.3
1981-04,0.24,56.5
1981-05,0.26,60.4
1981-06,0.00,70.8
1981-07,0.00,69.3
1981-08,0.00,69.1
1981-09,0.00,68.7
1981-10,1.98,60.6
1981-11,6.17,56.8
1981-12,2.41,51.7
1982-01,6.27,45.3
1982-02,2.58,51.7
1982-03,6.27,50.2
1982-04,5.50,53.4
1982-05,0.00,60.8
1982-06,0.26,61.4
1982-07,0.00,66.9
1982-08,0.00,68.3
1982-09,1.33,66.6
1982-10,2.07,62.1
1982-11,4.52,52.3
1982-12,4.07,49.3
1983-01,9.57,48.8
1983-02,5.48,52.0
1983-03,9.82,52.8
1983-04,4.84,52.1
1983-05,0.58,60.0
1983-06,0.00,64.4
1983-07,0.00,66.5
1983-08,0.15,69.6
1983-09,0.33,71.0
1983-10,1.34,64.7
1983-11,6.57,53.9
1983-12,5.68,51.2
1984-01,0.22,50.0
1984-02,1.88,50.6
1984-03,1.46,56.0
1984-04,1.16,53.7
1984-05,0.00,63.5
1984-06,0.00,64.9
1984-07,0.00,71.7
1984-08,0.00,69.6
1984-09,0.00,73.2
1984-10,1.82,59.1
1984-11,4.93,52.3
1984-12,1.81,47.0
1985-01,0.86,45.7
1985-02,1.56,50.7
1985-03,4.08,49.1
1985-04,0.44,58.9
1985-05,0.14,57.5
1985-06,0.06,68.9
1985-07,0.02,70.9
1985-08,0.00,66.9
1985-09,0.40,64.5
1985-10,1.02,62.0
1985-11,3.73,52.2
1985-12,2.09,46.6
1986-01,1.93,53.2
1986-02,10.52,53.2
1986-03,5.69,57.2
1986-04,0.73,56.6
1986-05,0.24,59.8
1986-06,0.00,66.0
1986-07,0.00,67.2
1986-08,0.00,69.4
1986-09,1.06,62.6
1986-10,0.00,63.5
1986-11,0.12,56.6
1986-12,0.95,48.6
1987-01,2.22,46.8
1987-02,3.28,50.6
1987-03,2.42,52.7
1987-04,0.17,60.1
1987-05,0.17,62.4
1987-06,0.00,66.0
1987-07,0.00,64.4
1987-08,0.00,68.4
1987-09,0.00,68.8
1987-10,0.83,66.0
1987-11,1.00,54.8
1987-12,4.13,47.0
1988-01,2.43,48.5
1988-02,0.42,52.9
1988-03,0.26,54.6
1988-04,2.05,56.9
1988-05,0.75,57.9
1988-06,0.12,65.0
1988-07,0.00,72.2
1988-08,0.00,70.1
1988-09,0.00,69.6
1988-10,0.06,66.5
1988-11,2.07,55.1
1988-12,3.00,48.9
1989-01,1.63,47.3
1989-02,1.15,47.7
1989-03,3.50,54.6
1989-04,0.43,60.5
1989-05,0.09,60.9
1989-06,0.00,65.5
1989-07,0.00,68.2
1989-08,0.00,67.0
1989-09,1.34,66.0
1989-10,1.83,62.1
1989-11,1.32,56.3
1989-12,0.00,49.1
1990-01,2.82,48.4
1990-02,3.29,46.6
1990-03,1.22,53.4
1990-04,0.30,59.2
1990-05,2.55,58.6
1990-06,0.00,64.9
1990-07,0.00,69.9
1990-08,0.00,68.8
1990-09,0.79,67.8
1990-10,0.00,66.5
1990-11,0.35,54.4
1990-12,1.55,43.0
1991-01,0.26,48.4
1991-02,2.10,54.2
1991-03,10.05,48.3
1991-04,0.24,52.9
1991-05,0.28,56.4
1991-06,0.09,60.8
1991-07,0.00,68.6
1991-08,0.00,67.1
1991-09,0.07,70.2
1991-10,1.68,68.5
1991-11,0.62,55.8
1991-12,3.19,47.6
1992-01,1.88,47.0
1992-02,7.88,52.9
1992-03,3.38,54.7
1992-04,0.13,59.4
1992-05,0.00,64.7
1992-06,0.14,64.5
1992-07,0.07,68.3
1992-08,0.00,70.1
1992-09,0.00,68.6
1992-10,1.17,65.6
1992-11,0.09,54.8
1992-12,6.39,46.0
1993-01,9.65,47.0
1993-02,6.48,49.5
1993-03,3.01,55.2
1993-04,0.75,54.7
1993-05,0.81,59.7
1993-06,0.97,65.2
1993-07,0.00,67.0
1993-08,0.00,69.3
1993-09,0.00,67.7
1993-10,0.66,64.2
1993-11,1.30,54.3
1993-12,1.89,47.2
1994-01,1.68,49.9
1994-02,4.26,47.6
1994-03,0.52,55.0
1994-04,1.66,55.4
1994-05,1.49,57.9
1994-06,0.01,64.1
1994-07,0.00,67.7
1994-08,0.00,68.8
1994-09,0.04,67.7
1994-10,0.54,61.3
1994-11,2.96,48.1
1994-12,1.87,45.9
1995-01,12.72,51.2
1995-02,0.53,54.1
1995-03,10.55,51.9
1995-04,1.57,53.4
1995-05,1.77,56.9
1995-06,0.72,62.9
1995-07,0.00,68.7
1995-08,0.00,69.7
1995-09,0.00,68.1
1995-10,0.00,65.5
1995-11,0.11,59.4
1995-12,6.93,51.9
1996-01,4.64,50.7
1996-02,7.46,54.1
1996-03,3.11,54.9
1996-04,1.10,57.3
1996-05,2.31,61.1
1996-06,0.00,66.0
1996-07,0.00,71.8
1996-08,0.00,70.4
1996-09,0.03,66.8
1996-10,1.58,61.5
1996-11,2.90,55.0
1996-12,7.64,51.5
1997-01,11.13,49.6
1997-02,0.26,51.4
1997-03,0.17,56.7
1997-04,0.32,56.1
1997-05,0.40,64.2
1997-06,0.13,63.5
1997-07,0.00,67.8
1997-08,0.53,68.2
1997-09,0.00,69.9
1997-10,0.63,61.4
1997-11,4.61,57.5
1997-12,3.14,48.0
1998-01,7.51,50.1
1998-02,13.13,48.9
1998-03,2.71,52.7
1998-04,2.39,52.5
1998-05,2.90,53.3
1998-06,0.03,61.3
1998-07,0.00,68.3
1998-08,0.00,72.8
1998-09,0.10,68.2
1998-10,0.66,60.0
1998-11,2.09,52.7
1998-12,2.21,46.3
1999-01,3.61,48.7
1999-02,4.33,47.8
1999-03,2.61,48.4
1999-04,2.24,52.1
1999-05,0.01,54.9
1999-06,0.17,61.5
1999-07,0.00,66.0
1999-08,0.00,65.9
1999-09,0.07,68.1
1999-10,0.12,66.9
1999-11,1.73,56.7
1999-12,0.50,51.8
2000-01,5.68,50.1
2000-02,6.95,50.5
2000-03,2.24,52.3
2000-04,1.01,56.6
2000-05,0.41,60.0
2000-06,0.23,66.5
2000-07,0.00,64.5
2000-08,0.00,68.4
2000-09,0.16,67.7
2000-10,2.03,59.8
2000-11,0.68,50.7
2000-12,0.44,50.6
2001-01,4.07,48.1
2001-02,4.94,47.9
2001-03,2.38,54.9
2001-04,1.92,50.9
2001-05,0.00,66.6
2001-06,0.04,67.6
2001-07,0.00,67.0
2001-08,0.00,67.3
2001-09,0.06,65.7
2001-10,0.26,65.5
2001-11,3.07,56.6
2001-12,5.62,47.9
2002-01,1.34,47.1
2002-02,1.28,51.4
2002-03,2.83,51.7
2002-04,0.35,54.9
2002-05,0.85,57.2
2002-06,0.00,63.6
2002-07,0.00,68.7
2002-08,0.00,67.8
2002-09,0.00,69.8
2002-10,0.00,61.9
2002-11,2.81,57.2
2002-12,7.96,50.3
2003-01,1.27,55.7
2003-02,1.50,50.0
2003-03,1.46,52.9
2003-04,3.21,50.1
2003-05,1.02,59.4
2003-06,0.00,64.8
2003-07,0.00,72.7
2003-08,0.25,67.7
2003-09,0.00,69.9
2003-10,0.00,66.9
2003-11,1.77,51.2
2003-12,5.69,49.6
2004-01,2.17,48.1
2004-02,4.44,50.1
2004-03,0.47,60.0
2004-04,0.07,57.8
2004-05,0.07,59.4
2004-06,0.00,64.2
