year,month,date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975,10,1975-10-01,15.303,15.141,15.943,17.827,18.117,18.143,14.851,15.02,15.148,15.974,15.428,16.439,15.658,18.197,14.993,16.082,18.115,15.675,15.511,17.842,15.287,16.856,15.724,15.368,16.893,15.106,15.467,16.673,16.221,17.112,17.737,17.811,17.192,15.536,16.1,16.285,15.282,16.835,15.033,17.758,17.707,15.446,16.323,18.193,16.447,18.143,17.896,14.774,15.754,16.956,15.338,15.616,15.785,16.019,17.648,17.502,18.09,15.705,15.454,15.866,14.989,16.361,15.033,14.911,16.774,18.209,16.181,16.869,15.432,17.173
1975,11,1975-11-01,11.624,10.891,12.302,11.184,14.712,11.347,10.626,9.863,13.278,10.732,15.333,12.896,11.49,12.639,11.345,11.195,12.955,11.773,13.15,11.248,9.941,11.721,12.748,11.814,11.789,10.915,12.885,12.726,14.737,12.198,10.774,13.082,13.573,12.593,12.817,12.783,10.855,15.344,14.178,13.325,11.497,12.068,12.121,12.918,10.706,14.208,13.241,10.637,11.849,12.531,10.401,10.209,12.61,11.846,12.64,12.174,11.546,12.252,10.805,9.012,11.225,11.388,11.472,12.376,10.7,11.131,11.838,13.415,10.701,13.269
1975,12,1975-12-01,9.708,6.753,6.785,9.853,8.726,10.82,7.742,7.33,10.191,7.334,8.655,9.077,8.934,9.424,6.778,10.053,9.03,8.895,8.043,9.872,6.381,8.831,7.841,7.723,10.068,7.631,9.168,6.764,9.117,10.84,6.561,8.894,9.931,9.818,6.753,11.477,9.081,9.275,7.758,9.126,9.126,7.765,8.581,8.26,6.817,9.208,8.314,6.611,9.188,7.317,10.01,8.297,8.272,7.197,9.963,10.814,8.908,7.97,10.489,7.744,10.378,7.784,8.531,8.51,6.782,11.163,8.588,8.632,8.76,7.789
1976,1,1976-01-01,7.281,6.335,9.408,8.299,8.389,7.749,6.818,7.77,10.229,7.503,8.577,7.128,10.2,9.058,7.082,10.424,8.201,8.556,8.015,10.072,7.834,7.313,7.692,8.381,8.591,8.105,9.356,7.054,11.095,11.153,6.529,9.327,9.009,8.193,8.235,7.989,10.25,10.221,8.327,8.22,8.934,10.163,9.803,10.724,10.09,8.068,11.159,7.752,6.501,8.055,8.273,10.073,7.287,7.88,8.925,8.448,9.085,10.296,6.457,8.212,9.44,10.188,8.976,7.625,9.845,8.149,9.859,11.514,10.038,8.099
1976,2,1976-02-01,9.907,9.641,12.455,9.78,8.446,10.299,10.479,9.414,9.727,11.123,10.935,9.141,11.621,12.493,8.219,13.418,9.795,11.725,11.567,10.605,9.735,12.444,11.047,9.745,12.088,11.049,9.656,9.632,9.705,11.569,9.485,8.219,9.735,10.607,9.466,12.626,12.393,11.997,9.555,10.067,12.157,10.281,10.067,10.248,10.057,8.814,12.337,10.297,12.741,11.074,8.759,9.967,10.744,9.78,12.101,11.016,9.551,12.715,9.203,10.958,12.438,11.637,9.119,9.748,9.85,10.524,9.948,12.135,11.116,9.888
1976,3,1976-03-01,12.471,9.778,13.668,10.276,13.055,10.395,9.681,12.916,13.061,11.286,10.393,11.973,12.38,14.14,10.608,13.129,10.107,12.478,11.347,11.651,12.211,11.436,10.387,13.425,12.789,10.053,10.923,10.505,11.376,14.102,10.932,9.673,13.134,10.395,11.906,13.359,11.548,9.615,9.615,10.272,12.058,12.479,14.009,9.924,12.191,10.256,11.083,10.742,13.787,9.801,10.275,11.908,9.616,9.615,11.91,11.366,10.327,12.144,11.417,10.151,12.894,10.942,9.873,10.28,13.766,12.042,10.503,11.388,12.452,10.691
1976,4,1976-04-01,12.023,13.141,14.291,14.804,15.857,15.419,14.274,15.923,12.531,14.109,13.721,11.612,13.29,14.99,15.225,13.357,10.466,13.102,13.098,13.435,13.388,15.674,13.978,13.883,14.548,12.574,12.823,11.96,12.993,14.286,13.817,9.322,13.693,14.277,13.386,14.252,13.158,15.229,13.479,14.154,12.977,14.323,14.433,12.012,13.407,14.044,13.611,10.282,15.423,13.365,12.077,12.698,13.668,14.825,12.889,12.675,12.723,14.03,15.522,14.229,14.035,13.862,12.289,15.306,13.996,13.514,12.707,13.905,13.177,12.553
1976,5,1976-05-01,16.785,15.34,15.394,18.647,17.285,19.156,15.033,15.925,15.801,13.497,16.154,15.79,16.155,17.705,13.796,19.812,13.878,14.035,16.881,15.802,13.517,15.615,15.88,16.798,19.39,17.274,15.102,15.092,14.771,14.546,14.175,13.675,14.119,16.066,13.778,15.386,13.653,15.764,15.882,14.696,16.815,17.591,16.586,16.574,16.32,16.988,14.697,13.875,16.402,16.87,13.614,15.786,17.266,18.32,17.02,17.179,14.014,16.609,17.18,13.495,16.794,15.715,13.876,14.021,14.026,15.65,18.959,15.631,14.324,16.768
1976,6,1976-06-01,16.355,17.891,16.555,19.648,17.516,18.503,17.423,20.164,19.011,18.084,17.747,18.495,18.897,19.698,17.529,19.86,18.998,18.211,20.381,19.043,16.629,19.723,18.122,19.427,18.07,18.956,18.89,19.459,19.411,17.681,17.739,17.898,18.915,18.989,18.272,18.444,18.201,17.09,19.686,18.594,19.333,20.607,17.505,18.025,20.226,18.747,16.376,18.164,20.047,19.133,18.267,16.343,18.942,19.595,21.198,19.572,17.412,18.465,19.319,18.68,18.437,21.666,16.637,18.762,17.791,19.319,20.776,20.095,18.309,19.529
1976,7,1976-07-01,21.04,21.19,20.671,21.44,20.848,21.529,19.659,20.612,20.673,19.069,20.515,21.392,19.208,21.693,19.669,21.36,20.211,19.451,21.567,22.377,20.139,21.564,21.188,19.817,21.197,21.16,19.981,21.361,21.439,20.03,19.613,19.608,21.744,20.303,18.926,19.794,21.181,20.625,21.604,21.222,21.214,19.583,20.821,20.47,21.242,21.319,19.575,19.957,20.892,21.511,19.857,19.018,20.844,19.894,21.878,21.069,20.679,22.311,21.314,20.771,19.984,21.462,19.596,21.483,20.731,20.133,20.706,21.198,19.163,21.094
