year,month,date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975,10,1975-10-01,16.969,16.885,17.546,19.532,19.837,19.789,16.51,16.698,16.89,17.651,17.022,18.041,17.318,19.878,16.691,17.674,19.806,17.242,17.105,19.524,16.94,18.565,17.361,17.046,18.706,16.805,17.095,18.483,17.855,18.792,19.423,19.418,18.891,17.303,17.742,17.964,16.977,18.562,16.707,19.418,19.373,17.105,17.936,19.873,18.125,19.789,19.482,16.413,17.46,18.713,16.949,17.302,17.278,17.601,19.28,19.221,19.756,17.368,17.124,17.521,16.624,18.004,16.747,16.585,18.535,19.893,17.891,18.674,17.043,18.883
1975,11,1975-11-01,12.359,11.714,13.063,12.038,15.349,11.999,11.485,10.525,14.05,11.595,16.08,13.61,12.264,13.431,11.994,11.931,13.7,12.594,13.896,11.971,10.765,12.478,13.535,12.594,12.559,11.739,13.591,13.538,15.333,12.972,11.559,13.793,14.272,13.441,13.617,13.659,11.676,16.094,15.015,14.109,12.187,12.909,12.974,13.683,11.568,15.057,14.034,11.473,12.664,13.339,11.198,10.974,13.421,12.613,13.456,13.025,12.33,13.039,11.656,9.861,12.028,12.019,12.288,13.156,11.502,11.856,12.642,14.146,11.549,14.035
1975,12,1975-12-01,11.203,8.168,8.277,11.314,10.109,12.424,9.16,8.891,11.704,8.913,9.983,10.484,10.425,10.812,8.203,11.552,10.469,10.261,9.513,11.337,7.904,10.231,9.341,9.194,11.653,9.287,10.63,8.176,10.506,12.435,7.96,10.214,11.401,11.317,8.258,12.827,10.478,10.657,9.254,10.539,10.435,9.27,9.991,9.744,8.263,10.53,9.694,8.012,10.62,8.846,11.485,9.81,9.774,8.735,11.476,12.414,10.343,9.525,12.056,9.199,12.015,9.269,9.935,9.959,8.22,12.672,10.007,9.881,10.215,9.282
1976,1,1976-01-01,8.45,7.536,10.624,9.555,9.621,8.979,8.102,9.096,11.528,8.814,9.763,8.316,11.441,10.302,8.258,11.594,9.42,9.748,9.27,11.318,9.012,8.515,8.912,9.605,9.781,9.383,10.596,8.246,12.543,12.446,7.743,10.57,10.155,9.365,9.412,9.27,11.351,11.436,9.541,9.429,10.139,11.381,10.987,11.999,11.346,9.353,12.454,9.08,7.749,9.312,9.485,11.336,8.485,9.114,10.131,9.75,10.334,11.489,7.609,9.425,10.702,11.423,10.283,8.89,11.233,9.335,11.266,12.661,11.289,9.375
1976,2,1976-02-01,9.781,9.447,12.299,9.666,8.327,10.131,10.437,9.318,9.573,11.021,10.822,8.976,11.459,12.352,7.994,13.192,9.617,11.511,11.175,10.482,9.552,12.261,10.932,9.59,11.82,11.072,9.499,9.511,9.481,11.213,9.365,7.994,9.535,10.369,9.336,12.41,12.192,11.823,9.39,9.845,11.948,10.148,9.946,10.125,9.909,8.656,12.177,10.217,12.682,10.961,8.606,9.829,10.625,9.569,11.878,10.894,9.441,12.63,9.093,10.815,12.279,11.531,8.986,9.609,9.662,10.381,9.78,11.923,11.014,9.726
1976,3,1976-03-01,11.471,8.756,12.631,9.283,11.996,9.341,8.693,12.026,12.04,10.231,9.353,10.844,11.355,13.147,9.57,12.088,9.095,11.474,10.301,10.594,11.179,10.308,9.344,12.384,11.569,9.002,9.763,9.478,10.336,13.108,10.045,8.682,12.095,9.353,10.849,12.374,10.541,8.611,8.611,9.277,11.023,11.482,12.958,8.903,11.17,9.21,9.964,9.776,12.815,8.801,9.234,10.819,8.614,8.611,10.837,10.375,9.312,11.111,10.363,9.114,11.741,9.804,8.838,9.261,12.791,10.969,9.539,10.402,11.461,9.681
1976,4,1976-04-01,11.461,12.528,13.802,14.318,15.327,14.921,13.736,15.317,11.986,13.598,13.11,10.824,12.763,14.447,14.775,12.798,10.125,12.552,12.565,12.871,12.802,15.201,13.439,13.337,14.099,12.001,12.312,11.521,12.481,13.758,13.244,8.692,13.083,13.758,12.753,13.669,12.746,14.683,12.937,13.635,12.459,13.816,13.974,11.429,12.87,13.51,13.128,9.894,14.926,12.849,11.551,12.177,13.162,14.456,12.349,12.166,12.187,13.504,15.003,13.728,13.51,13.296,11.934,14.822,13.479,13.055,12.19,13.341,12.706,11.929
1976,5,1976-05-01,17.509,15.929,16.052,19.422,17.942,19.918,15.769,16.6,16.469,14.014,16.797,16.449,16.793,18.258,14.332,20.228,14.424,14.676,17.477,16.511,14.087,16.211,16.586,17.524,19.775,17.919,15.922,15.615,15.259,15.027,14.706,14.285,14.69,16.657,14.261,16.003,14.168,16.411,16.589,15.359,17.53,18.356,17.342,17.218,17.024,17.753,15.361,14.42,17.092,17.624,14.056,16.473,18.099,18.815,17.853,17.837,14.601,17.318,17.723,14.012,17.51,16.431,14.44,14.617,14.616,16.306,19.831,16.252,14.933,17.449
1976,6,1976-06-01,18.649,20.229,18.806,22.164,19.785,20.799,19.737,22.57,21.457,20.407,20.152,20.767,21.472,22.176,20,22.272,21.414,20.671,22.649,21.465,18.949,22.213,20.434,21.902,20.419,21.411,21.344,21.915,21.816,20.005,20.093,20.222,21.384,21.421,20.587,20.837,20.483,19.421,22.151,20.926,21.795,23.044,19.787,20.414,22.496,21.122,18.725,20.572,22.643,21.56,20.759,18.612,21.388,22.065,23.761,21.989,19.711,20.847,21.775,20.94,20.806,24.346,18.966,21.193,20.163,21.808,23.154,22.334,20.654,21.983
1976,7,1976-07-01,25.521,25.662,25.144,25.725,25.316,25.94,24.169,25.018,25.147,23.516,24.976,25.831,23.583,26.186,24.158,25.706,24.565,23.81,25.964,26.978,24.548,25.963,25.711,24.211,25.747,25.561,24.399,25.696,25.809,24.39,24.096,24.201,26.139,24.754,23.45,24.208,25.513,25.083,26.011,25.661,25.744,24.074,25.325,24.962,25.706,25.692,24.104,24.457,25.284,25.893,24.335,23.345,25.311,24.392,26.39,25.566,25.126,26.882,25.773,25.241,24.466,25.873,24.114,25.813,25.123,24.554,25.095,25.596,23.569,25.628
