year,month,date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975,10,1975-10-01,1.067913386,0.534566929,1.752598425,0.766456693,0.660275591,0.839685039,0.735944882,0.527244094,0.556535433,0.527244094,0.183070866,0.350275591,1.938110236,1.336417323,1.963740157,0.864094488,0.599251969,1.838031496,0.350275591,0.010984252,1.933228346,0.919015748,1.601259843,0.512598425,0.043937008,0.876299213,1.486535433,0.058582677,0.014645669,0.073228346,1.513385827,1.95519685,1.291259843,0.057362205,0.052480315,1.895393701,1.275393701,0.028070866,1.331535433,0,0.129370079,1.723307087,0,0,1.451141732,0.848228346,0.673700787,1.462125984,1.913700787,0.040275591,1.370590551,1.470669291,0.654173228,0.002440945,1.038622047,1.585393701,1.081338583,1.702559055,0.073228346,0.10007874,0.910472441,0.792086614,1.635433071,0.168425197,1.064251969,0.488188976,1.065472441,1.465787402,0.197716535,0.080551181
1975,11,1975-11-01,0.773622047,1.634645669,6.392125984,4.510629921,3.033070866,2.499212598,1.753937008,4.570866142,2.469685039,4.046456693,0.017716535,0.877559055,2.05984252,2.936220472,2.74015748,1.901574803,6.392125984,6.457086614,2.299606299,0.38503937,2.67992126,6.457086614,0.361417323,1.290944882,4.924015748,0.231496063,0.492519685,0.173622047,1.556692913,6.062598425,4.083070866,4.24015748,0.230314961,6.457086614,1.744488189,0.967322835,0.563385827,5.707086614,6.419291339,5.696456693,1.259055118,6.062598425,2.102362205,3.411023622,1.423228346,2.611417323,2.857086614,6.062598425,2.839370079,3.271653543,2.111811024,5.668110236,2.218110236,0.336614173,0.724015748,0.316535433,2.333858268,2.577165354,5.134251969,5.727165354,0.281102362,4.952362205,2.496850394,1.279133858,2.801574803,1.209448819,0.891732283,0.368503937,4.386614173,2.541732283
1975,12,1975-12-01,5.207755906,2.390905512,3.451496063,4.562125984,3.252559055,6.98476378,1.706220472,0.710314961,0.345393701,4.375393701,2.63011811,4.070275591,1.853897638,1.106968504,7.512007874,3.316023622,3.936023622,2.825393701,1.685472441,6.960354331,0.671259843,5.83507874,5.042992126,3.573543307,3.424645669,0.073228346,6.701614173,0.733503937,13.81208661,5.736220472,4.132519685,6.108464567,0.580944882,0.372244094,6.916417323,3.57476378,2.231023622,5.84484252,1.678149606,2.180984252,0.338070866,2.908385827,6.484370079,1.476771654,2.732637795,4.176456693,4.512086614,0.999566929,0.580944882,0.256299213,5.860708661,5.285866142,4.148385827,1.529251969,0.550433071,5.79480315,2.631338583,2.034527559,0.756692913,1.820944882,4.341220472,1.342519685,5.954685039,5.176023622,0.299015748,6.303740157,5.966889764,5.058858268,5.259015748,1.321771654
1976,1,1976-01-01,8.963149606,1.095984252,4.610944882,10.3984252,2.826614173,1.551220472,1.744055118,2.626456693,0.909251969,6.246377953,3.918937008,0.329527559,10.50582677,0.378346457,1.324212598,2.84003937,7.979448819,1.119173228,0.377125984,2.997480315,3.30992126,2.63988189,1.031299213,7.819566929,1.213149606,6.772401575,3.795669291,3.069488189,9.057125984,10.82314961,1.163110236,9.251181102,4.980748031,10.03472441,4.708582677,7.491259843,1.203385827,6.41480315,10.54366142,8.402952756,0.299015748,6.772401575,2.826614173,1.653740157,6.069409449,1.512165354,2.172440945,5.567795276,2.37992126,2.896181102,10.49850394,8.434685039,4.352204724,2.987716535,1.327874016,1.763582677,3.086574803,2.047952756,3.557677165,2.964527559,1.978385827,7.557165354,7.768307087,7.957480315,0.771338583,6.29519685,3.10976378,11.73972441,3.805433071,2.564212598
1976,2,1976-02-01,6.242992126,1.732007874,0.017125984,5.724645669,5.76003937,1.099488189,4.465314961,7.339055118,1.260472441,5.095551181,2.403346457,5.473464567,4.106811024,0.917952756,0.90996063,0.405314961,7.026220472,0.96476378,0.302559055,4.706220472,5.433503937,0.017125984,6.679133858,6.86523622,9.318818898,6.175629921,1.822204724,2.890866142,1.855314961,4.187874016,8.074330709,0.462401575,2.309724409,6.160787402,5.269094488,4.185590551,3.87503937,2.911417323,0.907677165,0.393897638,1.681771654,3.549645669,2.101929134,0.832322835,2.099645669,0.022834646,0.166692913,1.677204724,0.274015748,4.103385827,2.458149606,4.131929134,1.801653543,7.469212598,6.971417323,5.287362205,3.346417323,1.80507874,2.092795276,4.115944882,0.017125984,2.130472441,4.981377953,1.601850394,0.955629921,8.205629921,3.279055118,2.175,4.847795276,0.246614173
1976,3,1976-03-01,4.010472441,4.935590551,0.296574803,3.904291339,0.657834646,4.19476378,3.351417323,0.240433071,1.593937008,3.550354331,9.029055118,3.777362205,3.357519685,4.099566929,1.989370079,4.796456693,3.490551181,2.292047244,1.487755906,1.962519685,1.558543307,0.247755906,0.113503937,0.131811024,6.96523622,3.550354331,6.649133858,1.360826772,2.703346457,3.091456693,6.010826772,5.27,4.123976378,1.161889764,3.472244094,0.135472441,3.175669291,0.239212598,3.424645669,2.677716535,1.879527559,3.501535433,1.907598425,2.488543307,3.507637795,3.575984252,3.073149606,2.255433071,0.078110236,3.51496063,5.494566929,1.480433071,1.624448819,1.698897638,5.407913386,2.976732283,7.014055118,4.193543307,2.696023622,1.950314961,0.261181102,4.802559055,6.123110236,1.851456693,0.291692913,2.140708661,3.533267717,4.198425197,9.112047244,3.948228346
1976,4,1976-04-01,0.807874016,0.370866142,0.823228346,0.294094488,0.183070866,0.115748031,1.686614173,0.305905512,1.581496063,2.770866142,0.751181102,3.171259843,2.738976378,4.248425197,0.138188976,1.890944882,3.025984252,0.68976378,2.637401575,2.072834646,4.495275591,1.122047244,1.916929134,0.921259843,0.726377953,1.484645669,1.132677165,0.787795276,3.568110236,1.351181102,1.191732283,2.247637795,0.765354331,2.134251969,0.47480315,0.416929134,2.48976378,2.409448819,1.45984252,0.551574803,1.118503937,0.637795276,0.818503937,0.367322835,3.408661417,1.553149606,1.953543307,3.718110236,0.307086614,2.481496063,1.166929134,1.988976378,0.289370079,0.268110236,1.58503937,0.462992126,1.830708661,3.350787402,0.432283465,0.373228346,2.097637795,1.899212598,1.09015748,0.53976378,3.553937008,0.461811024,1.051181102,0.133464567,0.577559055,1.242519685
1976,5,1976-05-01,0.032952756,0.058582677,1.80996063,0.003661417,0.048818898,0.007322835,0.031732283,0.014645669,1.995472441,0.483307087,1.995472441,0.111062992,0.074448819,0.20503937,0.173307087,0.00488189,0.120826772,0.735944882,0.252637795,0.25019685,2.588622047,0.068346457,0.195275591,0.192834646,0.025629921,0.00976378,0.040275591,0.51015748,0.20015748,2.633779528,0.152559055,0.523582677,1.270511811,0.176968504,0.301456693,0.718858268,1.241220472,0.185511811,0.46988189,0.316102362,0.074448819,0.003661417,0.085433071,0.180629921,0.141574803,0.012204724,0.506496063,0.196496063,0.015866142,0.185511811,1.995472441,2.239566929,0.013425197,0.003661417,0.499173228,0.015866142,0.31,0.218464567,0.982480315,0.190393701,1.523149606,0.012204724,2.598385827,1.393779528,0.601692913,0.516259843,0.003661417,0.028070866,1.424291339,0.031732283
1976,6,1976-06-01,0.157086614,0.030708661,0.511417323,0.009448819,0.056692913,0.075590551,0.051968504,0.018897638,0.008267717,0.165354331,0.007086614,0.076771654,0.063779528,0.015354331,0.081496063,0.037795276,0.101574803,0.010629921,0.108661417,0.017716535,0.395669291,0,0.063779528,0.011811024,0.031889764,0.076771654,0.06496063,0.074409449,0.050787402,0.015354331,0.207874016,0.021259843,0.011811024,0.005905512,0.005905512,0.177165354,0.141732283,0.012992126,0.002362205,0.003543307,0.02480315,0.001181102,0.32480315,0.004724409,0.002362205,0.008267717,0.205511811,0.148818898,0.001181102,0.069685039,0.192519685,0.27519685,0.022440945,0.007086614,0.011811024,0,0.002362205,0.010629921,0.059055118,0,0.315354331,0.002362205,0.177165354,0.135826772,0.394488189,0.001181102,0.001181102,0.151181102,0.212598425,0.005905512
1976,7,1976-07-01,0,0,0.001220472,0,0.386889764,0,0.068346457,0.00976378,0.386889764,0.169645669,0.00488189,0,0.002440945,0,0.003661417,0.006102362,0.007322835,0.003661417,0,0.139133858,0.001220472,0.001220472,0.032952756,0,0.00976378,0.010984252,0,0.04515748,0,0,0,0.006102362,0.234330709,0,0.017086614,0.023188976,0,0.003661417,0.014645669,0,0.008543307,0.020748031,0.001220472,0,0,0,0.013425197,0,0.001220472,0.002440945,0.070787402,0.25019685,0,0.00488189,0.003661417,0.001220472,0,0,0.001220472,0,0.003661417,0.006102362,0.018307087,0,0.001220472,0.028070866,0,0,0.001220472,0.003661417
