year,month,date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975,10,1975-10-01,1.708661417,0.721299213,2.800984252,0.98003937,0.965393701,1.380354331,1.072795276,0.766456693,0.921456693,0.706653543,0.408858268,0.605354331,3.107322835,1.852677165,3.284291339,1.304685039,0.926338583,3.065826772,0.353937008,0.020748031,3.086574803,1.368149606,2.436062992,0.716417323,0.082992126,1.488976378,2.345748031,0.097637795,0.025629921,0.111062992,2.383582677,3.130511811,1.983267717,0.10007874,0.092755906,3.059724409,1.916141732,0.056141732,1.881968504,0.001220472,0.25019685,2.711889764,0.001220472,0.001220472,2.257874016,0.988582677,1.052047244,2.360393701,2.980393701,0.091535433,2.145590551,2.27496063,1.019094488,0.010984252,1.381574803,2.437283465,1.576850394,2.610590551,0.155,0.185511811,1.457244094,1.343740157,2.642322835,0.333188976,1.657401575,0.657834646,1.501181102,2.17488189,0.277047244,0.129370079
1975,11,1975-11-01,1.344094488,2.372834646,9.187795276,6.379133858,4.687795276,3.994488189,2.438976378,6.943700787,3.32007874,5.384645669,0.035433071,1.642913386,2.729527559,4.263779528,3.885826772,2.786220472,9.187795276,9.337795276,3.304724409,0.504330709,4.026377953,9.337795276,0.57992126,2.022047244,7.204724409,0.362598425,0.927165354,0.34015748,2.348031496,8.953937008,5.542913386,6.764173228,0.361417323,9.337795276,2.473228346,1.556692913,0.801968504,8.653937008,9.265748031,8.575984252,1.743307087,8.953937008,3.141732283,4.966535433,2.156692913,3.883464567,4.133858268,8.953937008,4.234251969,4.750393701,3.08503937,8.709448819,3.337795276,0.518503937,0.996850394,0.45,3.152362205,3.777165354,7.60511811,8.750787402,0.406299213,7.462204724,3.98503937,1.722047244,4.153937008,1.872047244,1.490551181,0.519685039,6.532677165,3.538582677
1975,12,1975-12-01,7.832992126,3.447834646,4.462047244,6.239055118,4.433976378,10.26905512,2.282283465,1.053267717,0.538228346,6.148740157,3.650433071,5.706929134,2.528818898,1.329094488,10.27149606,4.805,5.467716535,3.66019685,2.444606299,10.18606299,1.032519685,8.507913386,7.233740157,4.831850394,5.317598425,0.092755906,9.796732283,1.097204724,19.46409449,8.174724409,5.711811024,8.904566929,0.849448819,0.556535433,9.926102362,4.737874016,3.206181102,8.289448819,2.389685039,3.051181102,0.496732283,3.831062992,9.169409449,2.032086614,3.932362205,5.816771654,6.14019685,1.332755906,0.881181102,0.466220472,8.029488189,7.214212598,5.88511811,2.177322835,0.853110236,8.321181102,3.657755906,2.962086614,1.264409449,2.710669291,6.135314961,1.844133858,8.174724409,7.088503937,0.417401575,9.055905512,8.339488189,7.110472441,7.285,1.830708661
1976,1,1976-01-01,12.71,1.519488189,6.898110236,14.04275591,4.071496063,2.029645669,2.404330709,3.889645669,1.29003937,9.248740157,5.490905512,0.504055118,13.72055118,0.740826772,1.862440945,4.170354331,11.49318898,1.639094488,0.488188976,4.331456693,4.898976378,3.912834646,1.581732283,11.02330709,1.739173228,10.02496063,5.421338583,4.476692913,12.93212598,14.25145669,1.930787402,13.04685039,6.883464567,13.40200787,6.701614173,10.06035433,1.70988189,9.275590551,13.78889764,11.72874016,0.458897638,10.02496063,4.031220472,2.237125984,8.911889764,2.190748031,2.916929134,7.80003937,3.325787402,4.150826772,13.68149606,11.75681102,5.523858268,4.313149606,1.862440945,2.482440945,4.486456693,3.103661417,5.438425197,4.375393701,2.645984252,11.08433071,10.93299213,11.42728346,1.320551181,8.832559055,4.525511811,15.23271654,5.709370079,3.439291339
1976,2,1976-02-01,8.151968504,2.302874016,0.026259843,7.437244094,7.551417323,1.460275591,6.159645669,9.776653543,1.889566929,6.336614173,3.687795276,6.652874016,5.474606299,1.357519685,1.29015748,0.50007874,8.770787402,1.403188976,0.425866142,5.982677165,6.578661417,0.026259843,8.576692913,8.881535433,11.99275591,8.276417323,2.398779528,3.531377953,2.514094488,5.460905512,10.49480315,0.584566929,2.823503937,8.252440945,6.22015748,4.898031496,5.74519685,4.070275591,1.246771654,0.492086614,2.383937008,5.238267717,2.935393701,1.041259843,2.991338583,0.058228346,0.196377953,2.26976378,0.379055118,5.500866142,2.926259843,5.514566929,2.453582677,10.01870079,9.17496063,6.432519685,4.033740157,2.468425197,2.862322835,5.488307087,0.026259843,2.568897638,6.386850394,2.063110236,1.418031496,10.67291339,3.856771654,2.976496063,6.948582677,0.206653543
1976,3,1976-03-01,5.086929134,6.314724409,0.412519685,4.847716535,0.992244094,5.692283465,4.387598425,0.342952756,2.055275591,4.283858268,11.15877953,4.923385827,4.272874016,5.501889764,2.460472441,5.910748031,4.498661417,3.071929134,1.971062992,2.466574803,2.073582677,0.375905512,0.120826772,0.162322835,7.856181102,4.692716535,8.321181102,1.824606299,3.508858268,3.766377953,8.066102362,6.727244094,4.726889764,1.678149606,4.623149606,0.136692913,3.857913386,0.289251969,4.495,3.202519685,2.351850394,4.630472441,2.482440945,3.370944882,4.529173228,4.667086614,3.693149606,2.902283465,0.136692913,4.376614173,7.253267717,1.972283465,2.22003937,1.993031496,6.590551181,3.506417323,9.50503937,5.810669291,3.491771654,2.831496063,0.367362205,6.071850394,8.05511811,2.277401575,0.390551181,2.73996063,4.424212598,5.251692913,11.29547244,5.033228346
1976,4,1976-04-01,1.037007874,0.472440945,0.929527559,0.369685039,0.284645669,0.181889764,2.179133858,0.400393701,1.991338583,3.536220472,1.075984252,4.514173228,3.587007874,5.598425197,0.213779528,2.506299213,4.153937008,0.910629921,3.849212598,2.78503937,5.763779528,1.39488189,2.477952756,1.332283465,1.031102362,1.922834646,1.377165354,1.184645669,4.471653543,1.662992126,1.306299213,2.878346457,0.981496063,2.841732283,0.726377953,0.62007874,2.944488189,3.17480315,1.95,0.755905512,1.362992126,0.883464567,1.071259843,0.440551181,4.187007874,2.011417323,2.442519685,4.873228346,0.408661417,3.269291339,1.679527559,2.552362205,0.38503937,0.367322835,1.987795276,0.601181102,2.434251969,3.988582677,0.546850394,0.517322835,2.63976378,2.412992126,1.557874016,0.711023622,4.262598425,0.55984252,1.606299213,0.193700787,0.668503937,1.533070866
1976,5,1976-05-01,0.040275591,0.096417323,2.355511811,0.003661417,0.056141732,0.00976378,0.043937008,0.019527559,2.711889764,0.672480315,2.711889764,0.136692913,0.119606299,0.350275591,0.236771654,0.003661417,0.157440945,0.709094488,0.362480315,0.349055118,3.394133858,0.141574803,0.237992126,0.269724409,0.030511811,0.00976378,0.048818898,0.696889764,0.286811024,3.597952756,0.229448819,0.718858268,1.65007874,0.25996063,0.428385827,0.905590551,1.784330709,0.246535433,0.66515748,0.418622047,0.10007874,0.003661417,0.136692913,0.267283465,0.202598425,0.014645669,0.689566929,0.308779528,0.029291339,0.256299213,2.711889764,2.802204724,0.014645669,0.00488189,0.61023622,0.020748031,0.41496063,0.279488189,1.297362205,0.289251969,2.210275591,0.00976378,3.450275591,1.936889764,0.72007874,0.689566929,0.002440945,0.056141732,1.646417323,0.043937008
1976,6,1976-06-01,0.394488189,0.079133858,1.101968504,0.02480315,0.159448819,0.200787402,0.114566929,0.055511811,0.014173228,0.408661417,0.009448819,0.183070866,0.134645669,0.028346457,0.179527559,0.098031496,0.243307087,0.025984252,0.203149606,0.042519685,0.896456693,0.001181102,0.17480315,0.022440945,0.076771654,0.178346457,0.12992126,0.19488189,0.099212598,0.047244094,0.504330709,0.057874016,0.02007874,0.017716535,0.010629921,0.466535433,0.342519685,0.051968504,0.010629921,0.005905512,0.056692913,0.001181102,0.737007874,0.010629921,0.008267717,0.015354331,0.522047244,0.263385827,0.002362205,0.153543307,0.402755906,0.568110236,0.042519685,0.015354331,0.023622047,0,0.004724409,0.029527559,0.118110236,0,0.696850394,0.003543307,0.406299213,0.282283465,0.98503937,0.002362205,0.002362205,0.375590551,0.529133858,0.009448819
1976,7,1976-07-01,0,0,0.001220472,0,0.418622047,0.001220472,0.035393701,0.014645669,0.418622047,0.147677165,0.006102362,0,0.003661417,0,0.003661417,0.007322835,0.012204724,0.00488189,0,0.10984252,0.001220472,0.001220472,0.017086614,0,0.010984252,0.010984252,0.001220472,0.061023622,0,0.001220472,0,0.007322835,0.25019685,0,0.023188976,0.032952756,0,0.00488189,0.019527559,0,0.010984252,0.023188976,0.002440945,0.001220472,0,0,0.017086614,0.001220472,0.002440945,0.003661417,0.039055118,0.25996063,0,0.007322835,0.003661417,0.001220472,0,0,0.001220472,0,0.00488189,0.00976378,0.020748031,0,0.001220472,0.026850394,0,0,0.001220472,0.002440945
