date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975-10-01,1.214,0.557,2.039,0.757,0.740,0.989,0.788,0.570,0.638,0.541,0.273,0.416,2.241,1.457,2.349,0.976,0.687,2.236,0.332,0.013,2.238,1.002,1.820,0.547,0.056,1.069,1.712,0.070,0.018,0.082,1.717,2.265,1.463,0.070,0.063,2.205,1.419,0.038,1.432,0.001,0.170,1.974,0.001,0.001,1.640,0.842,0.764,1.694,2.168,0.059,1.548,1.657,0.724,0.007,1.058,1.782,1.184,1.928,0.107,0.131,1.075,0.939,1.901,0.221,1.183,0.503,1.147,1.629,0.229,0.095
1975-11-01,0.868,1.655,6.481,4.553,3.208,2.680,1.744,4.762,2.405,3.886,0.021,1.041,2.082,2.995,2.730,1.898,6.481,6.569,2.326,0.365,2.763,6.569,0.394,1.381,5.039,0.241,0.583,0.201,1.616,6.211,3.997,4.530,0.240,6.569,1.772,1.028,0.575,5.920,6.487,5.868,1.244,6.211,2.172,3.478,1.492,2.679,2.893,6.211,2.933,3.298,2.128,5.936,2.278,0.353,0.713,0.313,2.288,2.603,5.287,5.976,0.275,5.144,2.679,1.247,2.872,1.305,0.969,0.367,4.519,2.506
1975-12-01,6.620,2.990,4.002,5.529,3.881,8.790,2.026,0.889,0.452,5.386,3.190,4.994,2.266,1.255,9.072,4.159,4.745,3.306,2.069,8.759,0.858,7.290,6.274,4.313,4.427,0.082,8.337,0.917,17.007,7.068,4.995,7.619,0.731,0.478,8.568,4.267,2.778,7.186,2.093,2.690,0.430,3.437,8.006,1.817,3.436,5.121,5.454,1.195,0.747,0.359,7.030,6.368,5.083,1.873,0.712,7.189,3.195,2.564,1.025,2.312,5.357,1.624,7.237,6.238,0.370,7.842,7.309,6.172,6.373,1.615
1976-01-01,10.655,1.266,5.692,12.030,3.398,1.755,2.025,3.188,1.074,7.738,4.624,0.406,11.917,0.592,1.552,3.462,9.632,1.357,0.428,3.633,4.048,3.196,1.277,9.235,1.455,8.282,4.538,3.748,10.809,12.296,1.504,10.970,5.780,11.524,5.630,8.704,1.427,7.718,12.013,9.954,0.378,8.282,3.364,1.906,7.490,1.794,2.459,6.559,2.778,3.505,11.890,9.969,4.917,3.610,1.559,2.080,3.760,2.551,4.477,3.613,2.291,9.179,9.182,9.555,1.035,7.497,3.788,13.296,4.688,2.938
1976-02-01,7.871,2.250,0.024,7.155,7.279,1.403,5.811,9.403,1.718,6.235,3.345,6.625,5.166,1.271,1.247,0.496,8.706,1.321,0.388,5.850,6.556,0.024,8.408,8.642,11.637,7.925,2.331,3.607,2.423,5.314,10.115,0.561,2.868,7.911,6.211,5.181,5.310,3.888,1.168,0.482,2.239,4.811,2.803,1.009,2.797,0.050,0.200,2.149,0.351,5.244,2.947,5.274,2.361,9.581,8.985,6.348,4.034,2.373,2.744,5.251,0.024,2.604,6.233,2.007,1.319,10.302,3.899,2.814,6.446,0.242
1976-03-01,4.281,5.221,0.343,4.081,0.746,4.529,3.591,0.272,1.694,3.729,9.362,3.997,3.517,4.403,2.061,4.960,3.703,2.513,1.626,2.055,1.699,0.294,0.106,0.139,6.869,3.879,6.914,1.476,2.889,3.174,6.500,5.562,4.107,1.321,3.803,0.128,3.238,0.245,3.679,2.736,1.966,3.804,2.071,2.716,3.744,3.869,3.135,2.424,0.104,3.650,5.963,1.611,1.787,1.707,5.601,2.979,7.647,4.695,2.879,2.227,0.297,5.052,6.544,1.923,0.328,2.268,3.699,4.391,9.551,4.220
1976-04-01,0.895,0.413,0.850,0.318,0.226,0.139,1.874,0.335,1.742,3.009,0.894,3.765,3.041,4.791,0.174,2.126,3.533,0.789,3.189,2.386,4.918,1.225,2.126,1.127,0.863,1.665,1.234,0.951,3.974,1.463,1.225,2.469,0.835,2.451,0.582,0.509,2.601,2.780,1.672,0.634,1.205,0.750,0.920,0.385,3.705,1.744,2.132,4.235,0.341,2.843,1.359,2.238,0.327,0.301,1.735,0.514,2.096,3.576,0.476,0.433,2.297,2.089,1.285,0.628,3.846,0.495,1.315,0.157,0.602,1.358
1976-05-01,0.039,0.084,2.274,0.004,0.061,0.009,0.041,0.018,2.557,0.614,2.557,0.145,0.110,0.306,0.223,0.005,0.162,0.777,0.334,0.315,3.190,0.126,0.226,0.244,0.031,0.011,0.050,0.659,0.260,3.372,0.207,0.681,1.602,0.227,0.383,0.862,1.671,0.227,0.610,0.400,0.094,0.004,0.118,0.247,0.181,0.015,0.648,0.276,0.026,0.233,2.557,2.741,0.018,0.005,0.587,0.020,0.395,0.269,1.208,0.264,2.048,0.012,3.235,1.831,0.714,0.648,0.004,0.050,1.731,0.040
1976-06-01,0.097,0.021,0.311,0.007,0.040,0.053,0.033,0.013,0.005,0.102,0.004,0.050,0.037,0.009,0.053,0.024,0.067,0.007,0.060,0.011,0.243,0.000,0.046,0.006,0.022,0.048,0.038,0.052,0.030,0.012,0.133,0.015,0.006,0.005,0.004,0.124,0.090,0.014,0.002,0.002,0.015,0.000,0.203,0.004,0.002,0.005,0.136,0.079,0.001,0.041,0.112,0.159,0.013,0.005,0.007,0.000,0.001,0.008,0.037,0.000,0.189,0.001,0.110,0.083,0.259,0.001,0.001,0.097,0.139,0.004
1976-07-01,0.000,0.000,0.001,0.000,0.415,0.001,0.049,0.012,0.415,0.148,0.006,0.000,0.004,0.000,0.005,0.007,0.011,0.005,0.000,0.117,0.001,0.001,0.023,0.000,0.010,0.011,0.000,0.059,0.000,0.001,0.000,0.007,0.229,0.000,0.020,0.031,0.000,0.005,0.017,0.000,0.010,0.023,0.001,0.000,0.000,0.000,0.015,0.001,0.002,0.004,0.052,0.244,0.000,0.006,0.004,0.001,0.000,0.000,0.001,0.000,0.005,0.009,0.020,0.000,0.001,0.029,0.000,0.000,0.001,0.002
