year,month,date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975,10,1975-10-01,0.995,0.456,1.671,0.62,0.606,0.81,0.646,0.467,0.523,0.443,0.224,0.341,1.836,1.194,1.925,0.8,0.563,1.832,0.272,0.011,1.834,0.821,1.491,0.448,0.046,0.876,1.403,0.057,0.015,0.067,1.407,1.856,1.199,0.057,0.052,1.807,1.163,0.031,1.173,0.001,0.139,1.617,0.001,0.001,1.344,0.69,0.626,1.388,1.776,0.048,1.268,1.358,0.593,0.006,0.867,1.46,0.97,1.58,0.088,0.107,0.881,0.769,1.558,0.181,0.969,0.412,0.94,1.335,0.188,0.078
1975,11,1975-11-01,0.735,1.401,5.487,3.855,2.716,2.269,1.477,4.032,2.036,3.29,0.018,0.881,1.763,2.536,2.311,1.607,5.487,5.562,1.969,0.309,2.339,5.562,0.334,1.169,4.266,0.204,0.494,0.17,1.368,5.259,3.384,3.835,0.203,5.562,1.5,0.87,0.487,5.012,5.492,4.968,1.053,5.259,1.839,2.945,1.263,2.268,2.449,5.259,2.483,2.792,1.802,5.026,1.929,0.299,0.604,0.265,1.937,2.204,4.476,5.06,0.233,4.355,2.268,1.056,2.432,1.105,0.82,0.311,3.826,2.122
1975,12,1975-12-01,5.424,2.45,3.279,4.53,3.18,7.202,1.66,0.728,0.37,4.413,2.614,4.092,1.857,1.028,7.433,3.408,3.888,2.709,1.695,7.177,0.703,5.973,5.141,3.534,3.627,0.067,6.831,0.751,13.935,5.791,4.093,6.243,0.599,0.392,7.02,3.496,2.276,5.888,1.715,2.204,0.352,2.816,6.56,1.489,2.815,4.196,4.469,0.979,0.612,0.294,5.76,5.218,4.165,1.535,0.583,5.89,2.618,2.101,0.84,1.894,4.389,1.331,5.93,5.111,0.303,6.425,5.989,5.057,5.222,1.323
1976,1,1976-01-01,8.73,1.037,4.664,9.857,2.784,1.438,1.659,2.612,0.88,6.34,3.789,0.333,9.764,0.485,1.272,2.837,7.892,1.112,0.351,2.977,3.317,2.619,1.046,7.567,1.192,6.786,3.718,3.071,8.856,10.075,1.232,8.988,4.736,9.442,4.613,7.132,1.169,6.324,9.843,8.156,0.31,6.786,2.756,1.562,6.137,1.47,2.015,5.374,2.276,2.872,9.742,8.168,4.029,2.958,1.277,1.704,3.081,2.09,3.668,2.96,1.877,7.521,7.523,7.829,0.848,6.143,3.104,10.894,3.841,2.407
1976,2,1976-02-01,6.894,1.971,0.021,6.267,6.375,1.229,5.09,8.236,1.505,5.461,2.93,5.803,4.525,1.113,1.092,0.434,7.625,1.157,0.34,5.124,5.742,0.021,7.364,7.569,10.192,6.941,2.042,3.159,2.122,4.654,8.859,0.491,2.512,6.929,5.44,4.538,4.651,3.405,1.023,0.422,1.961,4.214,2.455,0.884,2.45,0.044,0.175,1.882,0.307,4.593,2.581,4.619,2.068,8.392,7.87,5.56,3.533,2.078,2.403,4.599,0.021,2.281,5.459,1.758,1.155,9.023,3.415,2.465,5.646,0.212
1976,3,1976-03-01,3.508,4.278,0.281,3.344,0.611,3.711,2.942,0.223,1.388,3.055,7.671,3.275,2.882,3.608,1.689,4.064,3.034,2.059,1.332,1.684,1.392,0.241,0.087,0.114,5.628,3.178,5.665,1.209,2.367,2.601,5.326,4.557,3.365,1.082,3.116,0.105,2.653,0.201,3.014,2.242,1.611,3.117,1.697,2.225,3.068,3.17,2.569,1.986,0.085,2.991,4.886,1.32,1.464,1.399,4.589,2.441,6.266,3.847,2.359,1.825,0.243,4.139,5.362,1.576,0.269,1.858,3.031,3.598,7.826,3.458
1976,4,1976-04-01,0.758,0.35,0.72,0.269,0.191,0.118,1.587,0.284,1.475,2.548,0.757,3.188,2.575,4.056,0.147,1.8,2.991,0.668,2.7,2.02,4.164,1.037,1.8,0.954,0.731,1.41,1.045,0.805,3.365,1.239,1.037,2.09,0.707,2.075,0.493,0.431,2.202,2.354,1.416,0.537,1.02,0.635,0.779,0.326,3.137,1.477,1.805,3.586,0.289,2.407,1.151,1.895,0.277,0.255,1.469,0.435,1.775,3.028,0.403,0.367,1.945,1.769,1.088,0.532,3.256,0.419,1.113,0.133,0.51,1.15
1976,5,1976-05-01,0.032,0.069,1.863,0.003,0.05,0.007,0.034,0.015,2.095,0.503,2.095,0.119,0.09,0.251,0.183,0.004,0.133,0.637,0.274,0.258,2.614,0.103,0.185,0.2,0.025,0.009,0.041,0.54,0.213,2.763,0.17,0.558,1.313,0.186,0.314,0.706,1.369,0.186,0.5,0.328,0.077,0.003,0.097,0.202,0.148,0.012,0.531,0.226,0.021,0.191,2.095,2.246,0.015,0.004,0.481,0.016,0.324,0.22,0.99,0.216,1.678,0.01,2.651,1.5,0.585,0.531,0.003,0.041,1.418,0.033
1976,6,1976-06-01,0.082,0.018,0.263,0.006,0.034,0.045,0.028,0.011,0.004,0.086,0.003,0.042,0.031,0.008,0.045,0.02,0.057,0.006,0.051,0.009,0.206,0,0.039,0.005,0.019,0.041,0.032,0.044,0.025,0.01,0.113,0.013,0.005,0.004,0.003,0.105,0.076,0.012,0.002,0.002,0.013,0,0.172,0.003,0.002,0.004,0.115,0.067,0.001,0.035,0.095,0.135,0.011,0.004,0.006,0,0.001,0.007,0.031,0,0.16,0.001,0.093,0.07,0.219,0.001,0.001,0.082,0.118,0.003
1976,7,1976-07-01,0,0,0.001,0,0.34,0.001,0.04,0.01,0.34,0.121,0.005,0,0.003,0,0.004,0.006,0.009,0.004,0,0.096,0.001,0.001,0.019,0,0.008,0.009,0,0.048,0,0.001,0,0.006,0.188,0,0.016,0.025,0,0.004,0.014,0,0.008,0.019,0.001,0,0,0,0.012,0.001,0.002,0.003,0.043,0.2,0,0.005,0.003,0.001,0,0,0.001,0,0.004,0.007,0.016,0,0.001,0.024,0,0,0.001,0.002
