year,month,date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1975,10,1975-10-01,16.884,16.754,17.46,19.322,19.682,19.648,16.381,16.589,16.756,17.502,16.958,17.977,17.208,19.749,16.594,17.619,19.646,17.207,17.028,19.347,16.845,18.409,17.272,16.929,18.475,16.67,17.006,18.272,17.767,18.66,19.284,19.313,18.739,17.159,17.614,17.89,16.885,18.404,16.599,19.264,19.232,17.01,17.837,19.74,18.011,19.648,19.37,16.324,17.328,18.511,16.872,17.182,17.267,17.535,19.146,19.058,19.601,17.254,17.026,17.424,16.517,17.91,16.633,16.452,18.358,19.757,17.759,18.521,16.985,18.725
1975,11,1975-11-01,12.721,12.066,13.434,12.433,15.754,12.417,11.803,10.9,14.395,11.908,16.382,13.995,12.608,13.77,12.41,12.311,14.081,12.941,14.223,12.358,11.138,12.862,13.875,12.947,12.932,12.08,13.957,13.863,15.722,13.339,11.935,14.182,14.658,13.751,13.935,14.02,12.038,16.405,15.289,14.445,12.572,13.228,13.294,14.059,11.89,15.355,14.372,11.819,13.022,13.677,11.566,11.385,13.753,12.983,13.781,13.355,12.673,13.391,11.989,10.199,12.405,12.452,12.659,13.507,11.867,12.262,12.995,14.506,11.874,14.385
1975,12,1975-12-01,11.166,8.2,8.326,11.312,10.196,12.356,9.169,8.876,11.72,8.894,10.089,10.534,10.44,10.859,8.247,11.548,10.51,10.334,9.583,11.329,7.904,10.28,9.369,9.219,11.631,9.21,10.663,8.224,10.566,12.374,8.031,10.305,11.42,11.295,8.283,12.906,10.528,10.71,9.284,10.581,10.54,9.298,10.048,9.806,8.29,10.615,9.778,8.076,10.649,8.84,11.462,9.82,9.783,8.694,11.48,12.348,10.39,9.52,12.013,9.221,11.944,9.303,10.006,9.991,8.261,12.66,10.061,9.995,10.226,9.322
1976,1,1976-01-01,8.703,7.732,10.829,9.813,9.832,9.198,8.279,9.262,11.719,8.979,10.018,8.566,11.632,10.501,8.508,11.84,9.652,9.994,9.459,11.501,9.211,8.747,9.14,9.812,10.049,9.56,10.816,8.481,12.606,12.591,7.952,10.764,10.43,9.595,9.626,9.482,11.583,11.643,9.766,9.651,10.392,11.587,11.229,12.183,11.528,9.546,12.604,9.237,7.957,9.507,9.706,11.512,8.729,9.297,10.379,9.972,10.539,11.68,7.821,9.648,10.908,11.622,10.46,9.086,11.359,9.593,11.375,12.843,11.467,9.572
1976,2,1976-02-01,10.715,10.379,13.248,10.631,9.275,11.076,11.283,10.234,10.541,11.897,11.729,9.951,12.415,13.293,8.958,14.124,10.577,12.52,12.189,11.414,10.502,13.214,11.844,10.536,12.84,11.885,10.45,10.437,10.477,12.261,10.296,8.958,10.532,11.386,10.263,13.391,13.135,12.772,10.338,10.822,12.904,11.092,10.869,11.103,10.836,9.613,13.115,11.08,13.517,11.897,9.553,10.794,11.499,10.531,12.863,11.828,10.365,13.535,10,11.744,13.242,12.464,9.954,10.535,10.61,11.337,10.74,12.904,11.942,10.677
1976,3,1976-03-01,12.947,10.268,14.122,10.785,13.506,10.871,10.188,13.414,13.537,11.726,10.886,12.383,12.835,14.633,11.046,13.612,10.608,12.959,11.797,12.13,12.684,11.826,10.872,13.888,13.208,10.551,11.345,10.981,11.835,14.582,11.479,10.165,13.578,10.888,12.321,13.868,12.048,10.104,10.104,10.776,12.526,12.965,14.452,10.426,12.672,10.727,11.501,11.233,14.261,10.326,10.735,12.337,10.107,10.104,12.367,11.866,10.827,12.622,11.879,10.641,13.279,11.395,10.379,10.767,14.222,12.517,11.019,11.908,12.931,11.174
1976,4,1976-04-01,12.715,13.742,15.024,15.446,16.521,16.088,14.933,16.496,13.244,14.788,14.364,12.257,14.017,15.708,15.848,14.061,11.243,13.807,13.82,14.129,14.072,16.319,14.655,14.574,15.296,13.267,13.516,12.716,13.716,14.989,14.488,10.031,14.356,14.972,13.998,14.893,13.955,15.898,14.178,14.831,13.681,15.02,15.143,12.684,14.114,14.727,14.318,11.047,16.096,14.079,12.766,13.388,14.344,15.585,13.608,13.387,13.422,14.731,16.182,14.929,14.742,14.531,13.051,15.965,14.702,14.259,13.407,14.57,13.896,13.2
1976,5,1976-05-01,18.052,16.53,16.673,19.778,18.527,20.387,16.316,17.182,17.063,14.737,17.402,17.028,17.405,18.952,15.042,20.827,15.132,15.359,18.069,17.088,14.803,16.831,17.174,18.077,20.496,18.499,16.427,16.302,16,15.765,15.422,14.964,15.396,17.288,14.98,16.614,14.921,16.98,17.178,15.978,18.087,18.884,17.88,17.8,17.595,18.267,15.98,15.124,17.661,18.156,14.807,17.056,18.548,19.459,18.365,18.403,15.277,17.881,18.342,14.733,18.063,16.991,15.15,15.296,15.302,16.926,20.236,16.875,15.604,18.012
1976,6,1976-06-01,18.367,19.826,18.566,21.657,19.474,20.442,19.393,22.113,21.05,20.046,19.764,20.474,20.975,21.792,19.565,21.89,21.008,20.256,22.242,21.066,18.66,21.772,20.086,21.462,20.102,20.992,20.896,21.486,21.451,19.673,19.71,19.864,20.948,21.004,20.18,20.462,20.191,19.057,21.713,20.542,21.366,22.62,19.468,20.005,22.135,20.743,18.436,20.137,22.098,21.168,20.278,18.33,20.945,21.622,23.299,21.579,19.364,20.469,21.352,20.57,20.436,23.776,18.679,20.802,19.789,21.371,22.767,21.998,20.332,21.56
1976,7,1976-07-01,23.959,24.074,23.581,24.193,23.742,24.39,22.586,23.463,23.587,22.086,23.374,24.286,22.089,24.639,22.539,24.198,23.059,22.374,24.407,25.336,23.03,24.392,24.135,22.678,24.153,24.022,22.845,24.205,24.298,22.9,22.516,22.605,24.59,23.184,21.878,22.674,24.06,23.512,24.474,24.109,24.151,22.509,23.733,23.363,24.12,24.164,22.545,22.889,23.727,24.372,22.796,21.865,23.734,22.808,24.827,23.976,23.556,25.256,24.196,23.65,22.906,24.34,22.55,24.323,23.571,23.037,23.564,24.04,22.071,24.027
