Latitude,1,2,3,4,5,6,7,8,9,10,11,12
60,0.15,0.2,0.26,0.32,0.38,0.41,0.4,0.34,0.28,0.22,0.17,0.13
55,0.17,0.21,0.26,0.32,0.36,0.39,0.38,0.33,0.28,0.23,0.18,0.16
50,0.19,0.23,0.27,0.31,0.34,0.36,0.35,0.32,0.28,0.24,0.2,0.18
45,0.2,0.23,0.27,0.3,0.34,0.35,0.34,0.32,0.28,0.24,0.21,0.2
40,0.22,0.24,0.27,0.3,0.32,0.34,0.33,0.31,0.28,0.25,0.22,0.21
35,0.23,0.25,0.27,0.29,0.31,0.32,0.32,0.3,0.28,0.25,0.23,0.22
30,0.24,0.25,0.27,0.29,0.31,0.32,0.31,0.3,0.28,0.26,0.24,0.23
25,0.24,0.26,0.27,0.29,0.3,0.31,0.31,0.29,0.28,0.26,0.25,0.24
20,0.25,0.26,0.27,0.28,0.29,0.3,0.3,0.29,0.28,0.26,0.25,0.25
15,0.26,0.26,0.27,0.28,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.25
10,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.26
5,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27
0,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
