,date,precip_in,mean_temp_c,month,year,wy,count_col,p,eto_zone_8,ETo,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
0,1975-10-01,1.56,15.56,10,1975,1976,15.56,0.25,3.41,3.849568645855076,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1975-11-01,0.28,11.17,11,1975,1976,11.17,0.22556528,1.8,2.150888707529258,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.924072562743817,100.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1975-12-01,0.31,9.17,12,1975,1976,9.17,0.21556528,0.93,1.4797700538491128,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.331417115409273,100.0,0.0,649.0,5.164906838,0.0,0.0,0.0,0.0,1.8273190395695684,0.0,0.0,5.164906838,19.751391602313387
3,1976-01-01,0.22,9.33,1,1976,1976,9.33,0.22556528,1.24,1.5966138931488114,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.305115776240095,100.0,0.0,649.0,3.665417756,0.0,0.0,0.0,0.5061838849488701,1.2571603468454153,0.0,0.0,4.17160164094887,13.588577462254689
4,1976-02-01,1.03,10.17,2,1976,1976,10.17,0.24556528,1.68,2.013653911500544,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.526602370068282,104.44656216225991,2.8585042471670885,649.0063522316603,17.160819494000002,0.0,0.0,0.0,0.3592272731895207,1.3564267437823392,0.0,0.0,17.520046767189523,14.661542520022435
5,1976-03-01,1.94,11.22,3,1976,1976,11.22,0.27,3.41,2.5926270268505154,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.935951128127645,129.3018278625159,18.836889340188797,649.0418597540893,33.75955227251128,0.0,0.0,0.0,1.6818367790236652,1.7867978439431318,0.14960374450182093,0.0,35.44138905153494,19.463003958513234
6,1976-04-01,1.02,12.56,4,1976,1976,12.56,0.28556528,4.8,3.2531185395945976,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,32.31710635050175,119.210312039336,12.34948631100172,649.0274433029133,21.97382363841508,0.0,0.0,0.0,3.3085865552710314,2.848007628077701,0.9858544666678447,0.0,25.28241019368611,31.76981322287319
7,1976-05-01,0.0,17.33,5,1976,1976,17.33,0.29556528,6.2,5.249848700057434,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,43.74873916714528,100.0,0.0,649.0,0.0,0.0,0.0,0.0,2.1535326319228103,3.294656587187266,0.64632732193098,0.0,2.1535326319228103,36.258090259620005
8,1976-06-01,0.07,19.83,6,1976,1976,19.83,0.30556528,6.9,6.447654670397399,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,53.730455586644986,100.0,0.0,649.0,1.1662692860000001,0.0,0.0,0.0,0.0,4.460085940705979,0.0,0.0,1.1662692860000001,48.20882510785126
9,1976-07-01,0.0,21.22,7,1976,1976,21.22,0.30556528,7.44,7.0148777276008625,8.719999999999999,19.333665721159022,0.45102672849343384,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.45731439667385,100.0,0.0,649.0,0.0,0.0,0.0,0.0,0.11429958692393842,5.477699566018364,0.0,0.0,0.11429958692393842,59.20815515266335
