,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs,calib_wse_ft
0,1975-10-01,1.56,15.56,10,1975,0.25,3.41,3.849568645855076,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,652.75,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
1,1975-11-01,0.28,11.17,11,1975,0.22556528,1.8,2.150888707529258,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.559394312958712,8.7,0.0,652.75,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2,1975-12-01,0.31,9.17,12,1975,0.21556528,0.93,1.4797700538491128,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0728332890406067,8.7,0.0,652.75,0.4491907807184116,0,0,0,0.0,0.34872717726175195,0.0,0.0,0.4491907807184116,1.908121490220464,
3,1976-01-01,0.22,9.33,1,1976,0.22556528,1.24,1.5966138931488114,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1575450725328882,8.7,0.0,652.75,0.3187805540582276,0,0,0,0.042506384276630955,0.23991758944517697,0.0,0.0,0.36128693833485853,1.3127508784857838,
4,1976-02-01,1.03,10.17,2,1976,0.24556528,1.68,2.013653911500544,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5933460870314484,9.495252851136337,0.10623166637397619,652.7507844896531,1.4924725939998837,0,0,0,0.03016582109954455,0.25886167619256406,0.0,0.0,1.5226384150994283,1.4164067487254521,
5,1976-03-01,1.94,11.22,3,1976,0.27,3.41,2.5926270268505154,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.076424054434214,18.86776931143633,1.3582335174487536,652.7600301555769,3.0680197553437414,0,0,0,0.1412308896933222,0.3563198087322039,0.007582898198633806,0.0,3.2092506450370637,1.9572487939622862,
6,1976-04-01,1.02,12.56,4,1976,0.28556528,4.8,3.2531185395945976,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.358510941206083,8.7,0.0,652.75,3.2053142706590116,0,0,0,0.29032302595428366,0.9116102591958011,0.0969517550118113,0.0,3.495637296613295,5.084986068641826,
7,1976-05-01,0.0,17.33,5,1976,0.29556528,6.2,5.249848700057434,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8061403075416393,8.7,0.0,652.75,0.0,0,0,0,0.303315041101458,0.5274335402103855,0.0,0.0,0.303315041101458,2.8859444814164688,
8,1976-06-01,0.07,19.83,6,1976,0.30556528,6.9,6.447654670397399,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.674549636038114,8.7,0.0,652.75,0.10143017629125424,0,0,0,0.0,0.851166734854134,0.0,0.0,0.10143017629125424,4.657307042395773,
9,1976-07-01,0.0,21.22,7,1976,0.30556528,7.44,7.0148777276008625,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.085786352510625,8.7,0.0,652.75,0.0,0,0,0,0.00959821580440054,1.0453690166745417,0.0,0.0,0.00959821580440054,5.719918652712655,
