,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs,calib_wse_ft
0,1975-10-01,1.56,15.56,10,1975,0.25,3.41,3.849568645855076,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,652.75,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
1,1975-11-01,0.28,11.17,11,1975,0.22556528,1.8,2.150888707529258,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.559394312958712,8.7,0.0,652.75,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2,1975-12-01,0.31,9.17,12,1975,0.21556528,0.93,1.4797700538491128,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0728332890406067,8.7,0.0,652.75,0.4493435940027499,0,0,0,0.0,0.35249964606244155,0.0,0.0,0.4493435940027499,1.9118939590211537,
3,1976-01-01,0.22,9.33,1,1976,0.22556528,1.24,1.5966138931488114,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1575450725328882,8.7,0.0,652.75,0.3188890021955,0,0,0,0.044155856795326624,0.24251297540856928,0.0,0.0,0.3630448589908266,1.315346264449176,
4,1976-02-01,1.03,10.17,2,1976,0.24556528,1.68,2.013653911500544,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5919366537030888,9.486853592533,0.10510967449873365,652.7507762040726,1.49298032846075,0,0,0,0.03133641449990922,0.26166199592903727,0.0,0.0,1.5243167429606592,1.4192070684619256,
5,1976-03-01,1.94,11.22,3,1976,0.27,3.41,2.5926270268505154,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.077389221309843,18.872236595927156,1.3588302673691708,652.7600345623998,3.066348670652783,0,0,0,0.1467113951586659,0.35985581217072454,0.007547007067198945,0.0,3.213060065811449,1.9593394729410123,
6,1976-04-01,1.02,12.56,4,1976,0.28556528,4.8,3.2531185395945976,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.358510941206083,8.7,0.0,652.75,3.2071638825590716,0,0,0,0.30132231680386623,0.9216900725022641,0.09756572532324335,0.0,3.5084861993629377,5.09664501913535,
7,1976-05-01,0.0,17.33,5,1976,0.29556528,6.2,5.249848700057434,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8061403075416393,8.7,0.0,652.75,0.0,0,0,0,0.31515987099296544,0.5331392227743442,0.0,0.0,0.31515987099296544,2.8916501639804273,
8,1976-06-01,0.07,19.83,6,1976,0.30556528,6.9,6.447654670397399,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.674549636038114,8.7,0.0,652.75,0.10146468251674999,0,0,0,0.0,0.8603745057443617,0.0,0.0,0.10146468251674999,4.6665148132860015,
9,1976-07-01,0.0,21.22,7,1976,0.30556528,7.44,7.0148777276008625,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.085786352510625,8.7,0.0,652.75,0.0,0,0,0,0.009970677340880207,1.0566776334321404,0.0,0.0,0.009970677340880207,5.731227269470254,
